NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
1,308001,309135,309024,307288,307940,307427,927318,927097,2781229
1,308584,309536,310243,309187,308409,310002,923684,922538,2778998
1,309492,307513,307347,308128,308367,310229,924270,925602,2770932
1,313516,309386,308575,313978,330066,312784,932253,928438,2783808
1,309973,312240,310595,308657,308605,309883,928300,926554,2772993
1,308813,309061,311193,308988,308570,308545,926998,928670,2769535
1,309302,309981,308128,320338,314916,314926,934038,941946,2788723
1,309439,310543,309184,319213,311221,309555,930853,925486,2773579
1,307782,307495,308230,319029,309990,308723,923864,923042,2779806
1,308562,307154,312093,320138,317865,309821,932999,934038,2793154
1,309910,309452,310180,314824,309513,310245,928779,927562,2778687
1,308658,308819,307442,314921,310580,310855,925369,926318,2777967
1,309958,309672,309853,313809,315464,310325,933133,928001,2789731
1,309026,308219,307540,313674,310387,308472,930799,931381,2783119
1,309963,312013,312224,308582,315130,310066,927362,923519,2763936
1,307470,306966,307475,311023,324430,308249,922955,923461,2766813
1,310614,310882,309615,308273,308936,308224,931340,923219,2789473
1,309366,309440,308716,308336,308583,308841,931178,931973,2767953
1,309158,308393,307997,306838,308917,309371,930326,924951,2775542
1,309834,309547,308113,309595,313693,311337,929896,924913,2770748
1,306977,308159,307752,309064,309172,307823,924210,934606,2771060
1,309408,309266,312010,307273,308980,309136,928658,932060,2776688
1,309105,309290,307913,308431,309850,310080,926081,929152,2778206
1,307618,308158,308252,307369,308924,307936,932975,932239,2773258
1,308474,309344,308432,309581,308607,309011,924407,928122,2763407
1,309263,308185,308254,309544,309395,307406,925531,934794,2835270
0,320306,320256,324419,321411,316424,319947,953904,958272,2855564
1,312012,311064,314985,311181,313735,320073,952798,957556,2850749
1,309387,311576,313425,313902,316035,317732,945582,942247,2829886
1,313649,311627,310047,314222,314827,316397,945276,939704,2775068
1,308488,308193,309224,309102,309187,309262,925240,924151,2767885
1,308079,312489,308156,308698,307161,307927,922599,923344,2763342
1,307578,307787,307635,308961,308584,307493,922883,925350,2812750
1,311168,315240,320645,319981,319374,316823,949007,938205,2828521
0,314801,312016,311850,309433,309205,309442,929062,930959,2780442
1,308891,309688,309077,309247,309013,309638,928045,927572,2777571
1,309581,309090,309595,309609,308466,309787,928527,927065,2773852
1,308802,316212,314821,311467,310091,313486,937928,939571,2791540
1,310020,309365,309139,309317,309402,309739,929362,927520,2790214
1,311587,310362,309675,309812,312430,311699,933268,936202,2786507
1,312174,310648,309880,309553,310117,309674,929739,930257,2787502
1,311158,311231,312334,310588,310110,310077,933511,929654,2788013
1,310112,311077,309678,310758,310624,308307,929235,931337,2781641
0,309995,310451,310113,309545,309969,308779,927560,945351,2811887
1,309984,312302,309119,311337,309137,316724,931636,927447,2786851
1,308353,307888,309684,308833,309689,308969,929930,928164,2833716
1,316730,314859,314672,311194,311131,316705,936663,927821,2780749
1,308577,310110,310141,308768,310125,308984,927557,925572,2773741
1,309325,308984,309527,308779,309497,309665,929010,943091,2795669
1,309901,313803,310226,310432,309792,309332,928589,928647,2775767
1,309784,310284,309734,309895,309246,308649,940007,961697,2799667
1,310073,311406,309446,309079,308839,311064,938191,938314,2808941
1,312054,317846,311705,310450,310637,309692,928390,927078,2792712
1,310975,310589,309184,310285,309793,310039,934720,928241,2780840
1,309566,309179,308961,309469,309654,309509,929527,930551,2790383
1,312262,311992,309106,312087,309835,309410,931861,941484,2798042
1,314117,318524,315199,315244,317579,308714,933662,929082,2780113
1,308836,309913,308943,308451,309350,309262,930261,927073,2775275
0,307427,309520,308555,307781,308937,307845,924621,926508,2773865
1,314048,309301,309917,308051,314883,316099,927931,930956,2779630
1,309993,308616,318198,309123,318433,316727,947363,941124,2798590
1,309518,309705,309578,310124,312523,309350,928064,929400,2797430
1,314809,311309,310891,309186,309064,310010,928697,930640,2793269
6,316292,317071,316852,319881,318067,317543,951730,951889,2791768
