NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
0,98347,98042,97887,96958,98093,97902,294377,293284,880351
0,97629,96866,97370,98118,98408,97979,294311,295420,876036
0,98116,96687,97404,97518,97415,97630,292127,293176,881480
0,98008,98604,98266,96135,98917,97846,287264,288578,877319
0,97395,97836,97370,97857,97577,97773,291712,294585,876132
0,98242,97094,97544,97131,97861,97728,291653,291785,874678
1,96901,96945,96779,98035,96873,96556,292679,292604,872897
1,97044,97651,97825,97935,98024,97907,288342,292368,873931
0,97893,97629,97434,97072,97377,97544,292193,291524,880141
0,97708,97580,98065,98266,98234,98042,294908,293805,875997
0,97346,97784,97728,97658,97714,97357,292466,294684,879596
0,97798,98282,98152,98097,97394,96382,293562,289040,872881
0,97645,96550,97065,97785,96994,97742,291901,291156,877691
0,98473,97887,97934,96914,97350,97511,293596,293840,878897
0,96205,95447,95472,97595,97963,98013,292836,294015,878955
0,97790,97673,97617,98583,97634,97180,291901,293419,876680
