NOT, OR, AND, NOR, NAND, XOR_FAST, XNOR_FAST, XOR, XNOR, FullAdder 
1,405510,409043,408284,408807,404505,405828,1210497,1223785,2853603
1,411859,409373,409278,409639,404416,401539,1220371,1218307,2868781
1,416601,417700,409647,410836,406788,408437,1229403,1224634,2857113
1,414443,414174,415159,407510,405173,401032,1222513,1222415,2870506
0,409821,403145,404858,406526,402864,407165,1233183,1220727,2865771
0,406089,408571,407007,411987,408099,403612,1236653,1222684,2844579
1,408701,407216,410272,409970,401528,400838,1222697,1219467,2838284
1,407089,410184,408297,409002,402975,404524,1221272,1217136,2862124
1,410076,409443,408023,406126,404737,404289,1224765,1226824,2854846
1,403273,408812,404013,410824,403857,405032,1223076,1231424,2858495
1,408410,405560,409204,411651,401108,404909,1218509,1225437,2846665
1,406804,408328,403667,409900,401852,405367,1218667,1222002,2853544
1,413319,408570,403278,402871,398980,402598,1220852,1218120,2850490
1,408153,410395,407244,403481,402618,405490,1226205,1213740,2832817
1,407127,405815,407932,407005,407822,407393,1235975,1224989,2919340
1,407624,410028,409856,408139,404528,401389,1224682,1222128,2850992
0,409911,407132,407293,409989,409075,406329,1223049,1227293,2859838
0,407825,410794,410252,410462,405120,402715,1231830,1221564,2861132
1,408422,411811,419358,409890,406264,404116,1219596,1238746,2881281
